"COD_DANE12","COLEGIO_SE","X","Y","P_Puntaje_2021","EVALUADOS_2021","Sector","CALENDARIO","GENERO","COD_LOCA","NATU_JUR","CLASE_TIPO","Categoria","Thombre_aprob","Tmujer_aprob","Thombre","Tmujer","ESTRATO","DENSITY","P_Puntaje_2019","EVALUADOS_2019","P_Puntaje_2020","EVALUADOS_2020","P_Puntaje_2022","EVALUADOS_2022"
311001075697,"COLEGIO MODERNO JOHN DEWEY S.A.S.",-8244763.9275,523653.157900002,289.6153846,10,1,3,5,11,13,1,1,0,0,0,0,4,128.652843587,321.9230769,6,263.4615385,7,293.4615385,9
311001076031,"COLEGIO WESLEYANO DEL NORTE",-8242903.1398,528440.308600001,299.6153846,69,1,1,5,1,8,1,1,85.43,85.98,0.96,0.91,4,178.963176316,296.9230769,85,286.5384615,49,298.4615385,86
311001076448,"COLEGIO DIOS ES AMOR LUCERO ALTO",-8253974.4999,507314.272599999,265.7692308,49,1,1,5,19,5,1,3,85.75,88.76,2.31,1.45,1,277.409159592,255.3846154,37,257.6923077,34,266.1538462,47
311001076545,"COLEGIO GUSTAVO ROJAS PINILLA",-8247879.15,511392.531500001,251.3395225,29,1,1,5,15,13,1,3,89.95,91.17,2.27,2.12,3,217.137387873,239.3006993,27,246.1336032,19,253.5714286,28
311001076561,"LICEO HOMBRE DEL RIO",-8248952.5905,521937.944800001,275,10,1,1,5,10,13,1,3,86.17,87.71,1.45,1.31,3,268.675374031,270.7692308,8,287.6923077,7,283.0769231,5
311001076642,"COLEGIO BILINGUE NUEVA ALEJANDRIA",-8250757.2675,520457.5022,339.6153846,14,1,1,5,9,13,1,1,93.02,92.11,0,0,4,150.660579059,335.7692308,17,355.7692308,18,355.3846154,16
311001076677,"COLEGIO NUEVA CIENCIA",-8249225.6093,528534.407499999,269.6153846,31,1,1,5,11,15,1,2,89.36,91.61,2.38,1.86,2,425.30735871,272.3076923,32,274.2307692,32,273.4615385,25
311001076685,"INSTITUTO LEONARD EULER",-8256472.2911,513496.182,268.4615385,7,1,1,5,8,13,1,3,89.77,90.93,0.77,0.34,2,342.204666539,248.4615385,15,283.4615385,17,274.2307692,14
311001076758,"LICEO VAL (VIDA-AMOR-LUZ)",-8246019.3553,520220.646699999,332.6923077,11,1,1,5,12,15,1,1,84.04,87.83,1.53,1.41,7,293.179189433,320.3846154,10,315.3846154,20,340,17
311001076791,"GIMNASIO FRANCISCANO DE SUBA",-8249047.2254,528514.365,232.6923077,10,1,1,5,11,15,1,3,89.36,91.61,2.38,1.86,2,425.30735871,227.3076923,14,249.2307692,10,253.0769231,13
