H_Trans,M_Trans,H_Primero,M_Primero,H_Segundo,M_Segundo,H_Tercero,M_Tercero,H_Cuarto,M_Cuarto,H_Quinto,M_Quinto,H_Sexto,M_Sexto,H_Septimo,M_Septimo,H_Octavo,M_Octavo,H_Noveno,M_Noveno,H_Decimo,M_Decimo,H_Once,M_Once,H_Acelerac,M_Acelerac,Thombre_UP,Tmujer_UPZ,NOMBRE_UPZ,COD_UPZ,relacion,Shape_Leng,Shape_Area,WKT
"100","100","98.48","100","100","95.83","98.15","100","96.43","93.33","98.32","100","99.44","93.79","93.87","92.99","97.1","97.56","97.9","98.64","95.08","94.2","93.27","98.21","0","0","97.02","96.37","GALERIAS","UPZ100","1.00841646873","6754.60119261","2405329.068","POLYGON Z ((-74.06463473958146 4.649647361439683 0, -74.06618690891649 4.641458941220908 0, -74.06706736299782 4.636440597620185 0, -74.07391456284188 4.637627194165118 0, -74.07405535669466 4.637344656990402 0, -74.07472411379614 4.637415422914747 0, -74.07539320417257 4.633813273912534 0, -74.07953089827015 4.6346010691302935 0, -74.0795130694067 4.634832561919187 0, -74.07947980838499 4.635214546075517 0, -74.07940206997694 4.63625668832291 0, -74.07935024706651 4.637146715614672 0, -74.07929104539433 4.637929259329961 0, -74.07926137404051 4.638307500942165 0, -74.07924290467827 4.638589418133621 0, -74.07917629010838 4.639590741674478 0, -74.07909855170031 4.640617982978088 0, -74.079024542199 4.641660125309893 0, -74.07895355732524 4.642714839752021 0, -74.07831977073947 4.651990382953034 0, -74.07831934942959 4.651994479206532 0, -74.07760912878956 4.651858317041229 0, -74.06463473958146 4.649647361439683 0))"
"97.44","100","88.78","89.77","87.21","90.91","95.4","100","95.45","95.65","93.81","95.45","79.07","83.02","89.89","89.9","89.77","96","89.16","93.81","87.34","88.76","96.05","96.88","0","0","90.92","92.98","LAS MARGARITAS","UPZ83","1.018170912","6481.80563855","1490767.5044","POLYGON Z ((-74.1707733422269 4.6284820945558165 0, -74.17140542111532 4.6281113196852175 0, -74.1726229913632 4.627624075393068 0, -74.17325619943395 4.627380625930928 0, -74.17410582333471 4.627053982348025 0, -74.1762113683595 4.626177863858327 0, -74.17705747086436 4.625847683828875 0, -74.1772011536991 4.626947670286046 0, -74.17723487465823 4.627228246239691 0, -74.17730224920285 4.627789749700281 0, -74.17731238938579 4.6279317669630995 0, -74.1775600836557 4.628707669058733 0, -74.17770164287312 4.629367122852398 0, -74.17780278958085 4.629681452043479 0, -74.17781553038654 4.6297115369539625 0, -74.17803527716964 4.630229249712242 0, -74.17814648680518 4.630472817280374 0, -74.17863687262721 4.631654498348236 0, -74.179162590986 4.632851500979419 0, -74.17967810538144 4.634003661015886 0, -74.17989560098647 4.634489806761319 0, -74.17994930586742 4.634606752990027 0, -74.1802495066657 4.6352606203967 0, -74.18034044491853 4.635422903913155 0, -74.18091170876053 4.636652953842995 0, -74.1818295624021 4.638629452944339 0, -74.18248388806852 4.640038380826265 0, -74.18365169524293 4.642467829237364 0, -74.18444075293061 4.644187058266706 0, -74.18447299166952 4.6442573229955535 0, -74.18479924540767 4.644968177708858 0, -74.18557691335587 4.6468330958370885 0, -74.18362758266407 4.648086984561436 0, -74.18242803262078 4.649290765849641 0, -74.18214447490978 4.649656592590284 0, -74.18038302326637 4.646396100596168 0, -74.17999124730972 4.645670841811235 0, -74.17977740964454 4.645260117635925 0, -74.17914343261593 4.6440516798289035 0, -74.17891798422569 4.64365402258553 0, -74.17850235171004 4.642920993667853 0, -74.1784168311967 4.642756380337258 0, -74.17821130204958 4.642360486239054 0, -74.17733379444238 4.640711874198426 0, -74.17647444987192 4.639108386864179 0, -74.17575031792138 4.637730316194477 0, -74.17524628669018 4.636778645739395 0, -74.17518807855474 4.636670315172368 0, -74.17472501319544 4.635808049324803 0, -74.1744502993984 4.635296550987241 0, -74.1740714160627 4.634578348912415 0, -74.1736067337359 4.633697437822737 0, -74.1731196698838 4.632774153552599 0, -74.1728846553341 4.632328684678595 0, -74.17134696773978 4.6294156894099325 0, -74.1707733422269 4.6284820945558165 0))"
"100","100","76.39","89.66","81.36","91.14","91.67","100","95.83","91.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87.96","92.26","QUINTA PAREDES","UPZ107","0.984315846364","6641.0531441","1761208.98027","POLYGON Z ((-74.09244547944327 4.636480177701873 0, -74.0918387177745 4.635692844802494 0, -74.09142807719688 4.635305312252591 0, -74.09106648373545 4.635016229835185 0, -74.09064964029079 4.634739430093071 0, -74.09007655107213 4.634459508954097 0, -74.08908357761158 4.634047347440937 0, -74.08849514337123 4.6338320401613435 0, -74.0877534906794 4.633555138777608 0, -74.08640193401196 4.633109112574015 0, -74.08566866080508 4.632836164011029 0, -74.0838428170238 4.632293901815625 0, -74.08290481596705 4.6319281341249186 0, -74.08288046443634 4.631918738887658 0, -74.0827517807719 4.632207707067567 0, -74.08253103416386 4.632521382263873 0, -74.0824145397395 4.632662823742544 0, -74.08218778699549 4.632509060035037 0, -74.08199164164984 4.632447530367394 0, -74.08172806786064 4.632416712256413 0, -74.08148898124776 4.63244126359743 0, -74.08129901541295 4.632515113703804 0, -74.08112122175024 4.632625757675624 0, -74.0809495456146 4.63279184000032 0, -74.08084536080459 4.632982505841924 0, -74.08077179776596 4.633142383995685 0, -74.08072883493918 4.633449934381658 0, -74.07964026995262 4.633255190211436 0, -74.07970736422287 4.632363891055054 0, -74.07974147864411 4.631884946296405 0, -74.07977565055751 4.631517154831007 0, -74.07983110266169 4.630922746329106 0, -74.07990787717743 4.6303496671517275 0, -74.0799510439218 4.630124674276286 0, -74.07999315424736 4.629904905894807 0, -74.08003336014454 4.629728924419951 0, -74.0800870129232 4.629494325662292 0, -74.08019782909663 4.6291522510958 0, -74.0802916060258 4.62885289788444 0, -74.08051328778001 4.628339720144416 0, -74.08075629194585 4.627830781687867 0, -74.08104616930487 4.627351860722095 0, -74.08113155327432 4.627230190125643 0, -74.08147245404317 4.626744635719484 0, -74.0819413171293 4.626154504957729 0, -74.08209476644781 4.625957771015921 0, -74.08225673179524 4.625752494110893 0, -74.08285777928047 4.625046980769824 0, -74.08319894684897 4.624698288908902 0, -74.08701203292199 4.625169061830038 0, -74.09103710792733 4.625666034426193 0, -74.09145150436117 4.625717199657369 0, -74.09259818226178 4.626893630053647 0, -74.09496065264433 4.629317393186753 0, -74.0978233705541 4.63225424897362 0, -74.10086345902008 4.635373025145448 0, -74.10052560084509 4.635747077763937 0, -74.10008061767417 4.6361702737955985 0, -74.09939365980672 4.636662590768672 0, -74.09935248372904 4.636692036979476 0, -74.09864173667624 4.63714423721718 0, -74.09829846974493 4.637364971247998 0, -74.09819099081275 4.637434101321165 0, -74.09796681443699 4.637584011161708 0, -74.09762432275174 4.6377727533423805 0, -74.09671608018544 4.638273312901366 0, -74.09651534265205 4.638383958657693 0, -74.09645729890828 4.638122303688355 0, -74.09641316916995 4.637249073959558 0, -74.09638326964404 4.6370915873857745 0, -74.0963668053215 4.6370361502482265 0, -74.09635287424808 4.636980216173219 0, -74.09634816078778 4.636954086443634 0, -74.09634738733833 4.636947235929104 0, -74.09634675492435 4.636940314679903 0, -74.09634619168067 4.636933394325977 0, -74.09634577037079 4.6369264032373545 0, -74.09634549009644 4.636919481987899 0, -74.09634534906095 4.6369125598430285 0, -74.09634527899236 4.636905569649592 0, -74.09634534995926 4.636898649295323 0, -74.09634556196166 4.6368917280456 0, -74.09634584313436 4.63688473606118 0, -74.09634626624084 4.636877815706746 0, -74.09634683038284 4.636870895352209 0, -74.09634753466203 4.636863973206855 0, -74.0963483090098 4.636857052852179 0, -74.09634922439308 4.636850205022825 0, -74.09635027991354 4.636843353611913 0, -74.09635140819753 4.636836503096315 0, -74.09635274489068 4.6368296525806265 0, -74.09635408427877 4.636822802960252 0, -74.096355632076 4.636816024074485 0, -74.09635725084013 4.63680931413252 0, -74.09635901243641 4.6368026059812335 0, -74.09636084140634 4.636795896934531 0, -74.0963628141067 4.636789258622398 0, -74.09636492604592 4.636782620310215 0, -74.09636710715543 4.636775982893319 0, -74.09636943019878 4.636769485154935 0, -74.0963718951759 4.636762989207228 0, -74.09637442932332 4.63675648967795 0, -74.0963771027096 4.636750065360139 0, -74.09637984885943 4.636743709986194 0, -74.09638273514642 4.636737423556064 0, -74.09638576336725 4.636731139812015 0, -74.09638885986004 4.636724925907208 0, -74.09639209828664 4.636718781841593 0, -74.09639540588353 4.636712638671293 0, -74.09639878534561 4.636706636074906 0, -74.09640230404658 4.636700632583053 0, -74.09640596468137 4.636694699825833 0, -74.09640969628306 4.6366889103286075 0, -74.09641349705502 4.6366831190405895 0, -74.09641947893651 4.63667450373854 0, -74.09642377378188 4.636668360567845 0, -74.09642792669344 4.636662217397137 0, -74.09643200773978 4.636655930966282 0, -74.09643602141246 4.636649577382251 0, -74.09643982308275 4.636643221112013 0, -74.0964435528878 4.636636724267759 0, -74.09644721442089 4.636630156688796 0, -74.09645073402018 4.636623589109769 0, -74.09645411168566 4.636616950796021 0, -74.09645742018084 4.636610171012866 0, -74.09646058674221 4.636603393020415 0, -74.09646361586137 4.63659661323716 0, -74.09646657221697 4.636589691984472 0, -74.09646931657015 4.636582771627111 0, -74.09647206182166 4.636575781430419 0, -74.09647459686738 4.63656878944287 0, -74.09647706004789 4.636561727615976 0, -74.09647938398953 4.636554595054347 0, -74.09648156599737 4.636547464283384 0, -74.096483607868 4.636540259196165 0, -74.0964855769751 4.63653305589965 0, -74.09648740863996 4.636525782763751 0, -74.09648909926933 4.636518508732425 0, -74.09649064796488 4.636511163070961 0, -74.09649205562494 4.636503820095527 0, -74.09649339411472 4.6364964753293 0, -74.09649459067067 4.636489058932898 0, -74.09649564798777 4.636481645222589 0, -74.0964965615744 4.6364742288260725 0, -74.0964973377188 4.636466814220183 0, -74.09649797192941 4.636459328879572 0, -74.09649853517308 4.636451842643507 0, -74.09649895827958 4.636444428932804 0, -74.09649924035058 4.636436942696574 0, -74.09649938228439 4.636429457355657 0, -74.09649938228439 4.636421971119262 0, -74.0964992421472 4.636414485778179 0, -74.09649903194142 4.6364069986462795 0, -74.09649860973325 4.636399513305006 0, -74.0964981192531 4.636392098698367 0, -74.0964974850425 4.636384611566225 0, -74.0964967133897 4.636377196959432 0, -74.09649586717669 4.636369709827125 0, -74.09649481255454 4.636362296115531 0, -74.09649368696547 4.636354951347803 0, -74.09649235117067 4.636347534949952 0, -74.09649094440893 4.636340191972851 0, -74.09648946488366 4.6363329170442125 0, -74.09648777784756 4.63632557227618 0, -74.09648594797932 4.636318368977476 0, -74.09640418871204 4.6360125040424265 0, -74.09635999519334 4.6359476707411345 0, -74.09603507994497 4.635493976248867 0, -74.09579236324002 4.635155118093943 0, -74.09570777517793 4.635030888060166 0, -74.09536224359378 4.63452337896508 0, -74.094673808896 4.634961171279531 0, -74.09407919514483 4.635370157252751 0, -74.09355813275417 4.6357114963931725 0, -74.09265241175885 4.636334151767485 0, -74.09244547944327 4.636480177701873 0))"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TEUSAQUILLO","UPZ101","0","7090.78935696","2386321.33677","POLYGON Z ((-74.06706736299782 4.636440597620185 0, -74.06840396990232 4.628822476272563 0, -74.06840601177295 4.628810965198462 0, -74.06840721012556 4.628803974029524 0, -74.06856264472084 4.62791770133684 0, -74.0685687020608 4.627883237909953 0, -74.06944172437979 4.622907897702466 0, -74.06952806685163 4.622435807945779 0, -74.0696139700473 4.622092248988107 0, -74.06971171034348 4.621638521437257 0, -74.06989208935757 4.621081910016511 0, -74.07007638861958 4.620685890069814 0, -74.07030215231848 4.620228152034542 0, -74.07282911770429 4.615417332154541 0, -74.07296204411183 4.615584082902141 0, -74.0733937528778 4.616194154097389 0, -74.07495325785543 4.618397908780316 0, -74.07652361088844 4.62061698579093 0, -74.07730520088118 4.621721439433509 0, -74.07753812415288 4.622050555867347 0, -74.07882820730882 4.6238914940969185 0, -74.08038210140919 4.624178306765915 0, -74.08319894684897 4.624698288908902 0, -74.08285777928047 4.625046980769824 0, -74.08225673179524 4.625752494110893 0, -74.08209476644781 4.625957771015921 0, -74.0819413171293 4.626154504957729 0, -74.08147245404317 4.626744635719484 0, -74.08113155327432 4.627230190125643 0, -74.08104616930487 4.627351860722095 0, -74.08075629194585 4.627830781687867 0, -74.08051328778001 4.628339720144416 0, -74.0802916060258 4.62885289788444 0, -74.08019782909663 4.6291522510958 0, -74.0800870129232 4.629494325662292 0, -74.08003336014454 4.629728924419951 0, -74.07999315424736 4.629904905894807 0, -74.0799510439218 4.630124674276286 0, -74.07990787717743 4.6303496671517275 0, -74.07983110266169 4.630922746329106 0, -74.07977565055751 4.631517154831007 0, -74.07974147864411 4.631884946296405 0, -74.07970736422287 4.632363891055054 0, -74.07964026995262 4.633255190211436 0, -74.07964012891712 4.633259002738325 0, -74.07963152664996 4.633417758023604 0, -74.07961673229555 4.633557302909517 0, -74.07958988614328 4.633862310238734 0, -74.07958297989536 4.633923468200994 0, -74.07958016277864 4.633948043664929 0, -74.07957275706745 4.634100159562716 0, -74.07955704732976 4.634239210960355 0, -74.0795353386426 4.6345433011281445 0, -74.07953089827015 4.6346010691302935 0, -74.07539320417257 4.633813273912534 0, -74.07472411379614 4.637415422914747 0, -74.07405535669466 4.637344656990402 0, -74.07391456284188 4.637627194165118 0, -74.06706736299782 4.636440597620185 0))"
